Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp ,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
20-Sep-24,EQ,"1,418.95","1,453.05","1,409.20","1,408.20","1,441.00","1,438.70","1,435.87","1,621.40",754.5,"44,07,151","6,32,80,82,681.90","1,55,204"
19-Sep-24,EQ,"1,433.00","1,438.00","1,394.45","1,428.80","1,410.90","1,408.20","1,410.00","1,621.40",754.5,"20,72,872","2,92,27,51,327.75","1,09,397"
18-Sep-24,EQ,"1,430.00","1,439.25","1,415.05","1,426.60","1,428.00","1,428.80","1,428.36","1,621.40",754.5,"14,21,406","2,03,02,79,628.20","63,378"
17-Sep-24,EQ,"1,442.80","1,445.00","1,420.10","1,440.70","1,428.50","1,426.60","1,428.29","1,621.40",754.5,"13,21,316","1,88,72,20,057.75","68,586"
16-Sep-24,EQ,"1,455.10","1,461.15","1,438.80","1,452.10","1,440.50","1,440.70","1,448.09","1,621.40",754.5,"16,73,805","2,42,38,24,123.95","55,293"
13-Sep-24,EQ,"1,472.95","1,475.65","1,450.00","1,472.60","1,451.55","1,452.10","1,457.25","1,621.40",754.5,"16,83,544","2,45,33,41,570.35","81,458"
12-Sep-24,EQ,"1,444.00","1,475.00","1,440.20","1,430.60","1,468.55","1,472.60","1,460.68","1,621.40",754.5,"40,03,674","5,84,80,94,977.85","1,68,362"
11-Sep-24,EQ,"1,454.95","1,457.85","1,425.10","1,453.40","1,431.70","1,430.60","1,441.83","1,621.40",754.5,"16,37,596","2,36,11,30,536.45","85,430"
10-Sep-24,EQ,"1,439.00","1,464.00","1,435.00","1,435.90","1,449.00","1,453.40","1,451.93","1,621.40",754.5,"15,42,798","2,24,00,33,934.20","78,922"
9-Sep-24,EQ,"1,431.00","1,441.60","1,411.00","1,442.40","1,439.00","1,435.90","1,427.64","1,621.40",754.5,"16,21,371","2,31,47,32,464.10","73,544"
6-Sep-24,EQ,"1,465.60","1,468.75","1,427.55","1,465.55","1,442.00","1,442.40","1,442.65","1,621.40",754.5,"33,40,767","4,81,95,63,515.30","1,17,630"
5-Sep-24,EQ,"1,476.75","1,476.80","1,463.00","1,472.10","1,465.00","1,465.55","1,467.49","1,621.40",754.5,"9,59,956","1,40,87,21,078.00","56,018"
4-Sep-24,EQ,"1,472.00","1,475.15","1,461.05","1,479.55","1,473.40","1,472.10","1,469.92","1,621.40",754.5,"11,22,071","1,64,93,59,208.35","63,757"
3-Sep-24,EQ,"1,494.50","1,498.10","1,476.60","1,494.50","1,478.30","1,479.55","1,485.19","1,621.40",754.5,"8,82,478","1,31,06,47,610.70","51,825"
2-Sep-24,EQ,"1,490.00","1,499.50","1,478.80","1,481.90","1,494.55","1,494.50","1,489.10","1,621.40",754.5,"20,54,244","3,05,89,67,094.50","66,290"
