Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp ,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
20-Sep-24,EQ,113,113.95,110.4,111.67,111.29,110.99,111.83,157.4,76,"2,66,59,658","2,98,13,40,642.11","1,08,798"
19-Sep-24,EQ,116.7,117.49,109.5,116.95,112.04,111.67,112.61,157.4,76,"6,14,41,099","6,91,90,15,675.94","2,32,738"
18-Sep-24,EQ,118,123.9,116.1,117.96,116.47,116.95,120.09,157.4,76,"11,86,83,852","14,25,29,08,643.98","4,95,566"
17-Sep-24,EQ,112.95,118.36,110.26,107.6,118.36,117.96,115.24,157.4,76,"16,33,98,289","18,83,05,60,023.94","4,72,095"
16-Sep-24,EQ,112,112.18,106.9,111.58,107,107.6,108.98,157.4,76,"2,71,73,576","2,96,13,64,251.15","1,67,154"
13-Sep-24,EQ,112.7,114.25,111,112.64,111.41,111.58,112.63,157.4,76,"1,81,01,301","2,03,87,47,911.21","88,528"
12-Sep-24,EQ,114.6,115.49,111.44,113.02,112.47,112.64,113.21,157.4,76,"3,37,70,388","3,82,30,45,356.32","1,36,702"
11-Sep-24,EQ,115.49,116.5,109.86,115.5,112.5,113.02,113.31,157.4,76,"4,49,03,854","5,08,79,66,664.91","1,61,143"
10-Sep-24,EQ,114.8,119,113.39,114.58,115.15,115.5,116.34,157.4,76,"5,11,13,502","5,94,67,72,360.68","2,16,936"
9-Sep-24,EQ,110,116.2,103.5,109.57,114.1,114.58,110.01,157.4,76,"9,36,20,725","10,29,90,64,055.58","4,02,626"
6-Sep-24,EQ,111.1,115.05,109,115.16,110.25,109.57,111.54,157.4,76,"5,85,60,417","6,53,17,31,025.20","4,04,819"
5-Sep-24,EQ,111.36,119.17,110.33,110.8,114.9,115.16,115.24,157.4,76,"8,84,98,741","10,19,89,84,983.48","6,22,544"
4-Sep-24,EQ,112.55,115,109.8,113.49,110.95,110.8,112.01,157.4,76,"3,02,57,994","3,38,90,90,613.95","1,79,122"
3-Sep-24,EQ,114,119.3,112.66,114.93,113.35,113.49,115.38,157.4,76,"3,41,12,725","3,93,58,46,466.00","1,94,789"
2-Sep-24,EQ,118.5,119.95,114,117.93,114.95,114.93,115.68,157.4,76,"3,21,00,435","3,71,32,21,424.84","2,05,367"
30-Aug-24,EQ,121.3,122.97,117.11,120.28,118,117.93,120.35,157.4,76,"3,93,63,549","4,73,73,59,840.89","3,24,410"
29-Aug-24,EQ,125.95,126.99,119.6,125.69,120.6,120.28,122.59,157.4,76,"3,22,36,138","3,95,19,25,514.17","2,22,009"
28-Aug-24,EQ,128.7,129.19,125,127.53,125.63,125.69,126.45,157.4,76,"3,60,55,940","4,55,93,47,790.77","1,89,100"
27-Aug-24,EQ,126,131,125.75,125.3,127.6,127.53,128.37,157.4,76,"6,29,73,982","8,08,42,26,459.18","3,08,034"
26-Aug-24,EQ,123.43,132.7,118.6,126.26,125.19,125.3,125.02,157.4,76,"16,24,19,382","20,30,50,15,425.73","7,30,157"
23-Aug-24,EQ,131,132.47,125.55,131.32,125.93,126.26,128.21,157.4,76,"5,89,41,772","7,55,69,95,281.13","3,79,085"
22-Aug-24,EQ,139,139,126.05,138.05,131.55,131.32,131.8,157.4,76,"10,72,14,397","14,13,05,91,655.37","5,71,752"
21-Aug-24,EQ,143,143.5,135.22,137.79,137.91,138.05,138.83,157.4,76,"11,30,15,397","15,69,04,34,929.45","6,49,075"
20-Aug-24,EQ,153.8,157.4,132.65,146.38,137.38,137.79,143.87,157.4,76,"30,91,36,273","44,47,48,57,224.87","15,75,307"
19-Aug-24,EQ,139.39,146.38,136,133.08,146.38,146.38,144.34,146.38,76,"19,23,59,284","27,76,49,03,615.66","6,19,386"
16-Aug-24,EQ,121,133.08,117,110.9,133.08,133.08,127.4,133.08,76,"33,87,63,140","43,15,91,06,504.94","10,87,794"
14-Aug-24,EQ,110,113.4,100.36,108.17,110.99,110.9,107.38,129.4,76,"16,05,39,788","17,23,84,55,708.28","7,50,763"
13-Aug-24,EQ,120.98,129.4,105.21,109.44,108.85,108.17,116.07,129.4,76,"36,50,44,065","42,37,02,43,646.01","17,28,004"
12-Aug-24,EQ,97,109.44,95,91.2,109.44,109.44,103.94,109.44,76,"21,02,95,560","21,85,75,38,577.33","7,63,872"
9-Aug-24,EQ,76,91.2,76,76,91.2,91.2,84.29,91.2,76,"52,51,79,173","44,26,56,59,143.37","9,87,697"
