Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp ,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
20-Sep-24,EQ,"1,220.00","1,230.95","1,213.35","1,215.25","1,220.60","1,216.85","1,219.83","1,269.00",855,"35,33,125","4,30,97,96,616.15","85,596"
19-Sep-24,EQ,"1,207.00","1,225.60","1,204.05","1,200.85","1,216.00","1,215.25","1,216.49","1,269.00",855,"27,37,652","3,33,03,22,559.95","70,782"
18-Sep-24,EQ,"1,220.25","1,223.40","1,194.00","1,220.25","1,202.10","1,200.85","1,203.62","1,269.00",855,"9,30,896","1,12,04,45,977.35","42,231"
17-Sep-24,EQ,"1,223.00","1,234.30","1,212.15","1,218.50","1,218.10","1,220.25","1,221.26","1,269.00",855,"14,50,593","1,77,15,54,540.00","39,585"
16-Sep-24,EQ,"1,220.00","1,223.75","1,207.00","1,210.30","1,220.00","1,218.50","1,216.97","1,269.00",855,"9,84,584","1,19,82,07,117.10","45,496"
13-Sep-24,EQ,"1,226.00","1,227.00","1,208.05","1,222.75","1,209.90","1,210.30","1,211.85","1,269.00",854.75,"15,69,211","1,90,16,42,297.60","36,277"
12-Sep-24,EQ,"1,210.00","1,225.95","1,199.35","1,204.40","1,223.00","1,222.75","1,210.69","1,269.00",854.75,"26,35,403","3,19,06,54,262.00","1,02,064"
11-Sep-24,EQ,"1,209.90","1,219.00","1,201.25","1,204.15","1,203.35","1,204.40","1,209.29","1,269.00",854.75,"18,37,013","2,22,14,78,696.75","70,635"
10-Sep-24,EQ,"1,200.00","1,212.95","1,196.25","1,192.05","1,201.55","1,204.15","1,206.69","1,269.00",854.75,"18,15,998","2,19,13,55,274.85","90,030"
9-Sep-24,EQ,"1,173.85","1,195.95","1,169.90","1,173.85","1,190.65","1,192.05","1,189.32","1,269.00",854.75,"19,69,830","2,34,27,53,531.80","92,282"
6-Sep-24,EQ,"1,188.00","1,191.75","1,168.75","1,188.65","1,175.00","1,173.85","1,177.09","1,269.00",837,"9,89,655","1,16,49,08,998.15","44,843"
5-Sep-24,EQ,"1,199.50","1,206.85","1,185.65","1,194.95","1,187.40","1,188.65","1,194.21","1,269.00",837,"10,62,421","1,26,87,49,122.75","41,443"
4-Sep-24,EQ,"1,196.05","1,198.95","1,175.00","1,199.00","1,193.45","1,194.95","1,186.82","1,269.00",837,"16,33,635","1,93,88,28,301.20","53,326"
3-Sep-24,EQ,"1,209.00","1,218.35","1,196.30","1,199.70","1,197.80","1,199.00","1,207.64","1,269.00",837,"18,84,428","2,27,57,16,669.20","56,348"
2-Sep-24,EQ,"1,200.00","1,227.00","1,197.20","1,200.15","1,202.95","1,199.70","1,210.51","1,269.00",837,"18,52,516","2,24,24,82,759.10","77,792"
30-Aug-24,EQ,"1,195.00","1,207.50","1,195.00","1,198.45","1,202.50","1,200.15","1,200.20","1,269.00",828.25,"25,50,399","3,06,09,89,864.70","59,289"
29-Aug-24,EQ,"1,201.15","1,208.90","1,185.25","1,201.15","1,195.00","1,198.45","1,196.97","1,269.00",828.25,"10,62,444","1,27,17,17,219.30","66,299"
28-Aug-24,EQ,"1,210.00","1,215.35","1,196.60","1,209.60","1,197.30","1,201.15","1,205.96","1,269.00",828.25,"7,79,730","94,03,22,031.45","39,755"
27-Aug-24,EQ,"1,220.00","1,220.55","1,208.00","1,220.05","1,210.00","1,209.60","1,213.04","1,269.00",828.25,"4,83,025","58,59,26,454.60","26,355"
26-Aug-24,EQ,"1,205.00","1,221.85","1,194.05","1,196.80","1,220.00","1,220.05","1,214.51","1,269.00",828.25,"10,45,317","1,26,95,47,779.20","51,598"
23-Aug-24,EQ,"1,212.00","1,215.00","1,194.90","1,205.80","1,196.00","1,196.80","1,203.98","1,269.00",828.25,"8,52,159","1,02,59,78,656.50","34,002"
22-Aug-24,EQ,"1,184.05","1,209.85","1,181.00","1,177.55","1,206.00","1,205.80","1,201.00","1,269.00",828.25,"20,41,300","2,45,15,98,939.70","75,703"
21-Aug-24,EQ,"1,171.95","1,181.00","1,167.05","1,171.20","1,180.00","1,177.55","1,173.80","1,269.00",828.25,"8,02,420","94,18,79,805.10","37,354"
20-Aug-24,EQ,"1,182.95","1,182.95","1,166.75","1,177.40","1,171.45","1,171.20","1,171.67","1,269.00",828.25,"6,73,329","78,89,16,982.45","40,642"
19-Aug-24,EQ,"1,198.00","1,200.00","1,171.55","1,187.75","1,176.50","1,177.40","1,178.63","1,269.00",828.25,"6,82,374","80,42,64,767.65","35,525"
16-Aug-24,EQ,"1,168.00","1,190.65","1,168.00","1,167.55","1,187.15","1,187.75","1,182.59","1,269.00",828.25,"8,31,846","98,37,33,782.40","46,146"
14-Aug-24,EQ,"1,187.00","1,187.10","1,158.70","1,178.80","1,167.40","1,167.55","1,168.50","1,269.00",828.25,"9,91,108","1,15,81,13,289.55","63,434"
13-Aug-24,EQ,"1,172.70","1,182.75","1,167.60","1,170.80","1,180.85","1,178.80","1,177.56","1,269.00",828.25,"7,85,371","92,48,20,661.10","43,592"
12-Aug-24,EQ,"1,176.00","1,184.35","1,166.05","1,186.15","1,172.65","1,170.80","1,174.99","1,269.00",828.25,"7,87,584","92,54,07,144.65","52,309"
9-Aug-24,EQ,"1,188.90","1,188.90","1,180.00","1,178.30","1,183.15","1,186.15","1,185.30","1,269.00",828.25,"4,89,864","58,06,36,782.05","29,354"
8-Aug-24,EQ,"1,192.00","1,195.00","1,174.00","1,199.60","1,176.05","1,178.30","1,180.51","1,269.00",828.25,"12,98,997","1,53,34,76,969.20","67,004"
7-Aug-24,EQ,"1,182.55","1,207.75","1,182.55","1,185.60","1,200.00","1,199.60","1,199.14","1,269.00",828.25,"7,59,323","91,05,38,025.45","47,616"
6-Aug-24,EQ,"1,200.00","1,212.10","1,182.85","1,199.40","1,187.00","1,185.60","1,197.80","1,269.00",828.25,"13,04,014","1,56,19,52,119.45","58,708"
5-Aug-24,EQ,"1,176.00","1,213.60","1,151.00","1,193.65","1,202.00","1,199.40","1,200.25","1,269.00",828.25,"37,18,458","4,46,30,84,900.10","1,48,915"
2-Aug-24,EQ,"1,200.00","1,220.00","1,190.00","1,208.35","1,192.40","1,193.65","1,204.38","1,269.00",828.25,"12,62,150","1,52,01,06,576.40","61,455"
1-Aug-24,EQ,"1,188.95","1,216.00","1,188.00","1,188.95","1,210.00","1,208.35","1,205.36","1,269.00",828.25,"16,75,363","2,01,94,12,646.45","71,592"
31-Jul-24,EQ,"1,193.00","1,193.00","1,167.00","1,194.90","1,188.00","1,188.95","1,180.91","1,269.00",828.25,"29,94,289","3,53,59,77,826.65","95,396"
30-Jul-24,EQ,"1,206.00","1,211.40","1,189.20","1,201.40","1,195.00","1,194.90","1,197.28","1,269.00",828.25,"13,31,004","1,59,35,82,369.90","78,851"
29-Jul-24,EQ,"1,215.00","1,222.00","1,185.00","1,213.65","1,200.05","1,201.40","1,194.77","1,269.00",828.25,"19,44,124","2,32,27,85,631.05","80,688"
26-Jul-24,EQ,"1,216.05","1,218.95","1,205.40","1,223.60","1,212.80","1,213.65","1,211.41","1,269.00",828.25,"8,02,492","97,21,44,680.60","37,565"
25-Jul-24,EQ,"1,232.00","1,235.00","1,208.85","1,231.25","1,224.00","1,223.60","1,223.60","1,269.00",828.25,"24,98,031","3,05,65,90,633.35","86,306"
24-Jul-24,EQ,"1,257.00","1,257.70","1,217.40","1,256.90","1,233.00","1,231.25","1,229.60","1,269.00",828.25,"33,25,998","4,08,96,47,210.95","1,21,094"
23-Jul-24,EQ,"1,215.00","1,262.60","1,200.25","1,204.80","1,258.00","1,256.90","1,237.43","1,269.00",828.25,"51,40,297","6,36,07,80,407.15","1,67,465"
22-Jul-24,EQ,"1,185.00","1,210.90","1,182.25","1,188.00","1,206.00","1,204.80","1,201.75","1,269.00",828.25,"16,98,551","2,04,12,39,695.15","83,910"
19-Jul-24,EQ,"1,200.00","1,200.10","1,183.00","1,193.40","1,187.45","1,188.00","1,191.29","1,269.00",828.25,"13,85,064","1,65,00,19,677.00","68,905"
18-Jul-24,EQ,"1,175.00","1,194.60","1,170.00","1,176.25","1,192.70","1,193.40","1,184.98","1,269.00",828.25,"25,59,563","3,03,30,37,286.35","1,17,654"
16-Jul-24,EQ,"1,148.80","1,179.00","1,142.75","1,148.80","1,175.00","1,176.25","1,169.60","1,269.00",828.25,"21,52,821","2,51,79,39,068.05","77,235"
15-Jul-24,EQ,"1,152.50","1,157.00","1,139.80","1,152.25","1,146.75","1,148.80","1,146.91","1,269.00",828.25,"12,01,063","1,37,75,11,150.75","41,894"
12-Jul-24,EQ,"1,135.00","1,154.00","1,130.05","1,131.40","1,152.00","1,152.25","1,146.22","1,269.00",822,"10,92,749","1,25,25,27,943.90","52,913"
11-Jul-24,EQ,"1,150.55","1,153.40","1,125.50","1,150.80","1,130.25","1,131.40","1,135.85","1,269.00",822,"18,83,264","2,13,91,05,419.50","75,404"
10-Jul-24,EQ,"1,142.20","1,156.75","1,130.00","1,142.20","1,146.25","1,150.80","1,146.61","1,269.00",822,"10,15,150","1,16,39,83,016.75","48,587"
9-Jul-24,EQ,"1,161.40","1,168.50","1,140.00","1,150.80","1,142.00","1,142.20","1,149.30","1,269.00",822,"15,45,936","1,77,67,46,425.25","75,317"
8-Jul-24,EQ,"1,138.00","1,164.00","1,136.00","1,137.40","1,150.00","1,150.80","1,151.37","1,269.00",822,"19,58,676","2,25,51,53,843.40","59,194"
5-Jul-24,EQ,"1,135.40","1,150.95","1,132.70","1,135.20","1,135.30","1,137.40","1,139.68","1,269.00",822,"12,81,630","1,46,06,41,932.10","46,350"
4-Jul-24,EQ,"1,147.55","1,154.80","1,133.30","1,146.35","1,136.70","1,135.20","1,147.39","1,269.00",822,"21,13,837","2,42,53,97,190.20","1,18,371"
3-Jul-24,EQ,"1,114.00","1,148.60","1,112.05","1,105.00","1,144.25","1,146.35","1,135.27","1,269.00",822,"44,06,793","5,00,29,00,513.80","1,50,349"
2-Jul-24,EQ,"1,096.00","1,110.00","1,080.00","1,094.55","1,110.00","1,105.00","1,096.68","1,269.00",822,"20,26,189","2,22,20,83,259.00","59,555"
